#ProtID	TotalCount	PH090807_HS3NE_HCW_P1A01	PH090807_HS3NE_HCW_P1A02	PH090807_HS3NE_HCW_P1A03	PH090807_HS3NE_HCW_P1A04	PH090807_HS3NE_HCW_P1A05	PH090807_HS3NE_HCW_P1A06	PH090807_HS3NE_HCW_P1A07	PH090807_HS3NE_HCW_P1A08	PH090807_HS3NE_HCW_P1A09	PH090807_HS3NE_HCW_P1A10	PH090807_HS3NE_HCW_P1A11	PH090807_HS3NE_HCW_P1A12	PH090807_HS3NE_HCW_P1B01	PH090807_HS3NE_HCW_P1B02	PH090807_HS3NE_HCW_P1B03	PH090807_HS3NE_HCW_P1B04	PH090807_HS3NE_HCW_P1B05	PH090807_HS3NE_HCW_P1B06	PH090807_HS3NE_HCW_P1B07	PH090807_HS3NE_HCW_P1B08	PH090807_HS3NE_HCW_P1B09	PH090807_HS3NE_HCW_P1B10	PH090807_HS3NE_HCW_P1B11	PH090807_HS3NE_HCW_P1B12	PH090807_HS3NE_HCW_P1C01	PH090807_HS3NE_HCW_P1C02	PH090807_HS3NE_HCW_P1C03	PH090807_HS3NE_HCW_P1C04	PH090807_HS3NE_HCW_P1C05	PH090807_HS3NE_HCW_P1C06	PH090818_HS3NE_HCW_P1C02	PH090818_HS3NE_HCW_P1C03	PH090818_HS3NE_HCW_P1C04	PH090818_HS3NE_HCW_P1C05	PH090818_HS3NE_HCW_P1C06	PH090819_HS3NE_HCW_P1C07	PH090819_HS3NE_HCW_P1C08	PH090819_HS3NE_HCW_P1C09	PH090819_HS3NE_HCW_P1C10	PH090819_HS3NE_HCW_P1C11	PH090819_HS3NE_HCW_P1C12	PH090819_HS3NE_HCW_P1D01	PH090819_HS3NE_HCW_P1D02	PH090819_HS3NE_HCW_P1D03	PH090819_HS3NE_HCW_P1D04	PH090819_HS3NE_HCW_P1D05	PH090819_HS3NE_HCW_P1D06	PH090819_HS3NE_HCW_P1D07	PH090819_HS3NE_HCW_P1D08	PH090819_HS3NE_HCW_P1D09	PH090819_HS3NE_HCW_P1D10	PH090819_HS3NE_HCW_P1D11	PH090819_HS3NE_HCW_P1D12	PH090819_HS3NE_HCW_P1E01	PH090819_HS3NE_HCW_P1E02	PH090819_HS3NE_HCW_P1E03	PH090819_HS3NE_HCW_P1E04	PH090819_HS3NE_HCW_P1E05	PH090819_HS3NE_HCW_P1E06	PH090819_HS3NE_HCW_P1E07	PH090819_HS3NE_HCW_P1E08	PH090819_HS3NE_HCW_P1E09	PH090819_HS3NE_HCW_P1E10	PH090819_HS3NE_HCW_P1E11	PH090819_HS3NE_HCW_P1E12	PH090826_HS3NE_HCW_P1F01	PH090826_HS3NE_HCW_P1F02	PH090826_HS3NE_HCW_P1F03	PH090826_HS3NE_HCW_P1F04	PH090826_HS3NE_HCW_P1F05	PH090826_HS3NE_HCW_P1F06	PH090826_HS3NE_HCW_P1F07	PH090826_HS3NE_HCW_P1F08	PH090826_HS3NE_HCW_P1F09	PH090826_HS3NE_HCW_P1F10	PH090826_HS3NE_HCW_P1F11	PH090826_HS3NE_HCW_P1F12	PH090826_HS3NE_HCW_P1G01	PH090826_HS3NE_HCW_P1G02	PH090826_HS3NE_HCW_P1G03	PH090826_HS3NE_HCW_P1G04	PH090826_HS3NE_HCW_P1G05	PH090826_HS3NE_HCW_P1G06	PH090826_HS3NE_HCW_P1G07	PH090826_HS3NE_HCW_P1G08	PH090826_HS3NE_HCW_P1G09	PH090826_HS3NE_HCW_P1G10	PH090826_HS3NE_HCW_P1G11	PH090826_HS3NE_HCW_P1G12	PH090826_HS3NE_HCW_P1H01	PH090826_HS3NE_HCW_P1H02	PH090826_HS3NE_HCW_P1H03	PH090826_HS3NE_HCW_P1H04	PH090826_HS3NE_HCW_P1H05	PH090826_HS3NE_HCW_P1H06	PH090902_HS3NE_HCW_P1H07	PH090902_HS3NE_HCW_P1H08	PH090902_HS3NE_HCW_P1H09	PH090902_HS3NE_HCW_P1H10	PH090902_HS3NE_HCW_P1H11	PH090902_HS3NE_HCW_P1H12	PH090902_HS3NE_HCW_P2A01	PH090902_HS3NE_HCW_P2A02	PH090902_HS3NE_HCW_P2A03	PH090902_HS3NE_HCW_P2A04	PH090902_HS3NE_HCW_P2A05	PH090902_HS3NE_HCW_P2A06	PH090902_HS3NE_HCW_P2A07	PH090902_HS3NE_HCW_P2A08	PH090902_HS3NE_HCW_P2A09	PH090902_HS3NE_HCW_P2A10	PH090902_HS3NE_HCW_P2A11	PH090902_HS3NE_HCW_P2A12	PH090902_HS3NE_HCW_P2B01	PH090902_HS3NE_HCW_P2B02	PH090902_HS3NE_HCW_P2B03	PH090902_HS3NE_HCW_P2B04	PH090902_HS3NE_HCW_P2B05	PH090902_HS3NE_HCW_P2B06	PH090902_HS3NE_HCW_P2B07	PH090902_HS3NE_HCW_P2B08	PH090902_HS3NE_HCW_P2B09	PH090902_HS3NE_HCW_P2B10	PH090902_HS3NE_HCW_P2B11	PH090902_HS3NE_HCW_P2B12
ENSG00000008018	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	7.0	26.0	18.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000010438	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	2.0	1.0	0.0	2.0	0.0	1.0
ENSG00000013275	150.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	9.0	28.0	16.0	11.0	8.0	4.0	1.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	3.0	0.0	3.0	3.0	2.0	2.0	1.0	0.0	1.0	2.0	3.0	0.0	2.0	0.0	0.0	4.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000041357	240.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	6.0	10.0	7.0	8.0	0.0	13.0	8.0	4.0	5.0	0.0	0.0	10.0	0.0	0.0	6.0	3.0	5.0	4.0	6.0	5.0	5.0	5.0	5.0	0.0	4.0	4.0	0.0	3.0	3.0	2.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	12.0	18.0	36.0	30.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000072110	186.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	83.0	30.0	6.0	1.0	2.0	7.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	5.0	0.0	0.0	1.0	2.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000075914	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	10.0	7.0	8.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000077348	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	5.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000083520	154.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	63.0	73.0	7.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000087191	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	10.0	35.0	14.0	6.0	4.0	4.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000095261	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	14.0	9.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
